spl	Metodo	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	Huang	0.0176019	9	609	0.220848181690176	3.33066907387547e-16
2	Huang	0.0089272	5	351	0.21150244903081	-1.33226762955019e-15
3	Huang	0.0182162	10	637	1.28988242100547	0
4	Huang	0.0097359	5	350	0.105672541541206	-6.66133814775094e-16
5	Huang	0.0080805	4	285	0.122831513765133	-3.88578058618805e-16
6	Huang	0.0140377	8	497	0.807073642431746	0
7	Huang	0.0167034	9	619	0.464883194396889	-2.77555756156289e-16
8	Huang	0.0146403	7	486	0.859345990880385	-8.32667268468867e-16
9	Huang	0.0207478	11	732	0.2372173948513	3.33066907387547e-16
10	Huang	0.015603	9	545	1.29978172475944	0
11	Huang	0.0107842	7	397	1.06869189466264	0
12	Huang	0.0092849	5	355	0.0613706813288987	-4.44089209850063e-16
13	Huang	0.0152316	8	565	1.22161912710172	-6.10622663543836e-16
14	Huang	0.0077729	4	278	0.0248692132970393	-1.66533453693773e-16
15	Huang	0.0089163	6	360	0.0554718651066608	0
16	Huang	0.0099092	5	362	0.0112643217973124	-2.77555756156289e-16
17	Huang	0.008859	6	357	0.0255276426263459	0
18	Huang	0.0089338	5	358	0.0821563718780792	1.66533453693773e-16
19	Huang	0.0166878	9	624	0.122694111666279	0
20	Huang	0.0150373	9	552	1.30449085495923	0
21	Huang	0.010613	7	427	0.786837211640158	0
22	Huang	0.0082699	5	351	0.00850793942494925	2.22044604925031e-16
23	Huang	0.0087433	5	288	1.29492454044167	0
24	Huang	0.0092847	6	362	0.0524218664536918	0
25	Huang	0.0095504	6	334	0.656785555987195	0
26	Huang	0.015408	9	564	1.24435922802744	0
27	Huang	0.0106722	6	361	1.24318183489144	0
28	Huang	0.0098376	6	347	1.20812842019542	0
29	Huang	0.0081655	4	290	1.03501979133504	-1.55431223447522e-15
30	Huang	0.0154634	9	575	1.29828334723635	0
31	Huang	0.0112045	7	428	1.30339566122037	0
32	Huang	0.006836	4	290	0.0880800527228415	-4.44089209850063e-16
33	Huang	0.0114414	7	433	1.12550629149498	0
34	Huang	0.00872	5	355	0.276068825291772	-6.10622663543836e-16
35	Huang	0.0092554	6	360	1.27479710887966	0
36	Huang	0.7214363	382	27744	1.3045981308226	0
37	Huang	0.0091863	5	360	0.0190358589656235	-4.44089209850063e-16
38	Huang	0.0092323	5	349	0.948926173750061	-1.60982338570648e-15
39	Huang	0.0071653	4	287	1.13222069544519	-5.55111512312578e-16
40	Huang	0.0135268	7	505	0.799423898002473	1.11022302462516e-16
41	Huang	0.0128027	7	499	0.48052079775904	-3.33066907387547e-16
42	Huang	0.0146008	8	550	0.968926509614943	1.66533453693773e-16
43	Huang	0.0071375	4	284	0.583815386506233	-3.88578058618805e-16
44	Huang	0.0294325	12	765	1.30161323545722	0
45	Huang	0.0147336	6	362	0.158760755672772	0
46	Huang	0.0334945	13	837	1.26853297290662	0
47	Huang	0.0227371	10	705	0.292077110427999	1.11022302462516e-16
48	Huang	0.0112422	6	363	0.0442395238383378	0
49	Huang	0.0196607	9	646	0.115586395855421	-1.66533453693773e-16
50	Huang	0.0088378	5	282	1.29743815345843	0
