spl	TEnd	N_Iter	N_Evals_F	Erro_Xsol_P	Erro_F_P
1	0.0070959	8	9	1.70489852615792e-06	0
2	0.0050035	7	8	1.83606260119924e-07	0
3	0.0065672	9	10	8.22026174910176e-09	0
4	0.0058056	7	8	1.73083300177194e-08	0
5	0.0056075	8	9	1.20632266046516e-07	0
6	0.0068961	9	10	3.16908270205559e-07	0
7	0.0081838	10	11	4.97378161164257e-07	0
8	0.0091244	9	10	2.53527314958254e-07	0
9	0.0071451	9	10	1.68178058700979e-07	0
10	0.0073165	7	8	8.54169501055004e-08	0
11	0.0078356	11	12	2.35943233679278e-08	0
12	0.0064535	7	8	1.60390835841219e-07	-4.44089209850063e-16
13	0.0202268	8	9	7.03212098107128e-07	0
14	0.0102634	8	9	6.40713195961989e-08	0
15	0.0055797	8	9	2.12361533739689e-08	0
16	0.0071927	8	9	3.54027535072652e-08	0
17	0.00535	8	9	6.56064466623846e-07	0
18	0.0058567	8	9	2.00129922328581e-07	0
19	0.0091644	10	11	2.34319113464236e-07	0
20	0.006869	9	10	8.99119527254743e-08	0
21	0.0070043	10	11	1.0213876764041e-07	0
22	0.0055835	8	9	4.89372997071097e-08	0
23	0.0075961	9	10	7.4781602675899e-07	0
24	0.0058184	8	9	5.67038762907556e-07	0
25	0.0074532	8	9	2.0494065710171e-07	0
26	0.0059618	8	9	3.3819528602255e-07	0
27	0.0063182	6	7	6.13406622536682e-07	0
28	0.0094303	11	12	9.64703312063539e-08	0
29	0.0061085	7	8	2.90851439612555e-07	0
30	0.0089586	12	13	1.68952946563368e-07	0
31	0.0112838	9	10	5.76079926403523e-08	-2.22044604925031e-16
32	0.0060058	8	9	8.74318661951828e-07	0
33	0.0082228	10	11	6.21725684923099e-07	0
34	0.0060118	8	9	6.68164496921546e-07	0
35	0.0055831	7	8	5.32531140335422e-07	0
36	0.0063131	9	10	4.22877297967801e-07	0
37	0.0087321	8	9	2.00420158482445e-07	1.11022302462516e-16
38	0.0053506	8	9	1.52677454899803e-07	0
39	0.007064	8	9	8.95266222517948e-09	0
40	0.0057165	8	9	1.49158608322809e-07	0
41	0.0064385	8	9	5.09039338462071e-07	0
42	0.0056896	8	9	2.05908323472349e-08	0
43	0.0064829	9	10	4.40698778857454e-08	0
44	0.0085248	10	11	2.69942427309452e-07	0
45	0.0059911	8	9	5.65614487814037e-07	0
46	0.0086832	9	10	7.04197228762045e-08	0
47	0.0053786	7	8	7.31477049180949e-07	0
48	0.0080273	8	9	2.38278269017094e-07	0
49	0.0067916	9	10	1.59297639786562e-07	0
50	0.0079734	9	10	4.76185372007705e-08	0
